,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,57.0,light rain,-33.65,115.33,Observatory Guest House
14,Yima,CN,62.01,moderate rain,34.74,111.88,Yima Hotel
37,Rikitea,PF,74.89,light rain,-23.12,-134.97,Pension Maro'i
40,Bengkulu,ID,78.91,light rain,-3.8,102.27,Grage Hotel Bengkulu
66,Hithadhoo,MV,84.51,moderate rain,-0.6,73.08,Scoop Guest House
94,Vila,PT,78.01,light rain,42.03,-8.16,Hotel Castrum Villae
103,Biak,ID,78.73,light rain,-0.91,122.88,Kost Ariz
109,Kapaa,US,69.8,moderate rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
124,Noumea,NC,68.0,moderate rain,-22.28,166.46,Hôtel Le Lagon
127,Kindu,CD,74.41,light rain,-2.95,25.95,Hotel Karibu
129,Asau,RO,52.0,light rain,46.43,26.4,Casa Mika Ciobanus
143,Amapa,BR,79.38,moderate rain,1.0,-52.0,
148,Meulaboh,ID,78.96,heavy intensity rain,4.14,96.13,Kost Pria
164,Qinhuangdao,CN,54.09,moderate rain,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
182,Posse,BR,80.96,light rain,-14.09,-46.37,Pousada das Palmeiras
198,Chahal,GT,82.67,moderate rain,15.75,-89.57,
203,Te Anau,NZ,50.45,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
216,Georgiyevskoye,RU,59.59,light rain,58.73,45.02,
221,Mareeba,AU,71.6,light rain,-17.0,145.43,Trinity Plains Tourist Park
227,Lagunas,PE,80.96,moderate rain,-5.23,-75.68,Hospedaje Eco
229,Gambela,ET,79.16,light rain,8.25,34.58,Solomon Debebe Hotel
238,Grand Gaube,MU,75.0,heavy intensity rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
263,Portland,US,54.0,light rain,45.52,-122.68,Portland Marriott City Center
265,Sao Felix Do Xingu,BR,85.15,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
267,Boda,CF,74.37,light rain,4.32,17.47,
286,Carauari,BR,82.6,moderate rain,-4.88,-66.9,Pousada Lobo
313,Daniel Flores,CR,81.52,light rain,9.34,-83.67,Hotel San Isidro
327,Terra Santa,BR,85.3,moderate rain,-2.1,-56.49,Igreja da paz
340,Padang,ID,78.98,moderate rain,-0.95,100.35,Mercure Padang
347,Ileza,RU,55.27,light rain,61.05,43.9,
350,Puerto Leguizamo,CO,79.39,moderate rain,-0.19,-74.78,la casona de juancho
362,Dongying,CN,61.5,light rain,37.46,118.49,Wanda Realm
371,Lethem,GY,77.92,moderate rain,3.38,-59.8,Savannah Inn
390,Salinopolis,BR,83.41,light rain,-0.61,-47.36,Hotel Salinópolis
398,Vao,NC,71.11,light rain,-22.67,167.48,Hotel Kou-Bugny
416,Cap Malheureux,MU,75.0,heavy intensity rain,-19.98,57.61,Pereybere Hotel & Spa
439,Nkawkaw,GH,85.05,moderate rain,6.55,-0.77,Kowf Hotel
450,Linshui,CN,60.55,moderate rain,36.42,114.2,Fengfeng Dianchang Hotel
475,Pundaguitan,PH,83.28,moderate rain,6.37,126.17,Leonardo Family Beach House 1
482,Trincomalee,LK,82.29,light rain,8.57,81.23,Welcombe Hotel
493,Fonte Boa,BR,85.91,light rain,-2.5,-66.27,
495,Warrington,GB,70.0,light rain,53.39,-2.58,Villaggio Hotel
496,Zhoucheng,CN,59.61,heavy intensity rain,35.91,116.31,Yingbin Restaurant
504,Joensuu,FI,50.0,light rain,62.6,29.76,Greenstar Hotels Oy
522,Babati,TZ,63.0,light rain,-4.22,35.75,White Rose Lodge
546,Grand-Santi,GF,75.85,light rain,4.25,-54.38,Hotel La Villa Couacou
551,Carutapera,BR,86.18,light rain,-1.2,-46.02,Lidera
573,Vanimo,PG,79.95,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
